factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
AB Apparels Ltd.,Woven,5.0,2400.0,1400,1625000,"Shirts ,Pants","225, Singair Road, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2015
AB Fashion Maker,Woven,5.0,190.0,100,8000,"Shirts ,Pants","Digirchala,, Chandana Chowrasta, Gazipur, Chandana",Gazipur,Chandana,2014
AB Mart Fashionwear Ltd.,Knit,5.0,1050.0,505,16666,"Jackets ,T-Shirts ,Polo Shirts","786, Kakil Satiash Borodawra, 13/3, Purbapara, Mudafa, Tongi, Gazipur, Gazipur",Gazipur,Gazipur,2007
ABA Fashions Ltd.,Woven,5.0,1150.0,520,200000,"Sports & Casual Wear ,Trousers ,Shorts ,Jackets","Sena Kalyan Comm. Complex (6th Floor), Plot # 9, Block-F, Gazipur, Tongi",Gazipur,Tongi,1999
ABA Garments Ltd.,Woven,5.0,1050.0,396,210000,"Jackets ,Trousers ,Shorts ,Vests","Sena Kalyan Comm. Complex (6th & 8th Floor), Plot # 9, Block-F, Gazipur, Tongi",Gazipur,Tongi,1993
Ababil Knit Composite Ltd.,Knit,5.0,350.0,112,260000,"T-Shirts ,Polo Shirts","A/6, BSCIC, Shasongaon, Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Abanti Colour Tex. Ltd.,Knit,5.0,1084.0,650,900000,"T-Shirts ,Polo Shirts","Plot # S.A.-646, Shashangaon, Narayanganj, Fatullah",Narayanganj,Fatullah,2004
ABC Garments Ltd,Woven,5.0,600.0,300,340000,"Jackets ,Shorts ,Trousers ,Windbreakers","26, Mirpur Road, Dhaka, Mirpur Road",Dhaka,Mirpur Road,1984
ABC Knit Dyeing & Finishing Mills Ltd.,Knit,5.0,861.0,485,385000,"T-Shirts ,Polo Shirts ,Tank Top","Plot # 1, 3 & 5, Road # 14/A, Kadamtoli, Dhaka, Shampur",Dhaka,Shampur,2008
Abedin Garments Ltd.,Woven,5.0,1900.0,1425,316667,"Shirts ,Babies Trousers ,Girls Dress ,Dresses","228/A, Tejgaon, Industrial Area, Dhaka, B. Baria",Dhaka,B. Baria,1985
ABG Sweaters Ltd.,Sweater,5.0,310.0,300,35000,Sweaters,"Teknogopara, Chanda Chourasta, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2008
Abir Fashions,Knit,1.0,30.0,893,83340,"T-Shirts ,Polo Shirts ,Tank Tops ,Jacket","Plot # 44, Road # 2, Kutubail, (Post office Road), Fatullah, Narayanganj, Narayanganj, Narayangonj",Narayanganj,Narayangonj,2001
Abloom Design Ltd.,Knit,5.0,550.0,227,500000,"T-Shirts ,Polo Shirts","37, South Sastapur, Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Ably Garments Ltd.,Knit,5.0,326.0,150,60000,"Jackets ,Dresses ,Pants ,Tops","JBC Shopping Centre (4th Floor), 22-23, Station Road, Chittagong","JBC Shopping Centre (4th Floor), 22-23, Station Road",Chittagong,1992
Aboni Fashions Ltd.,Woven,5.0,489.0,175,60000,"Shirts ,Blouses","Plot # 23-24, Tetuljhora, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2000
Aboni Knit Wear Ltd.,Knit,5.0,0.0,69,0,,"160-171, Tetulgora, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2001
Absolute Quality Wear Limited,Woven,5.0,,258,150000,"Outerwear ,Jackets and Uniform","M-15 & M-18, Section # 14, Dhaka, B. Baria",Dhaka,B. Baria,1997
ABSS High-Tech Sweater Ltd.,Sweater,5.0,1040.0,550,200000,Sweaters,"Kalemeshar, Bord Bazar, Gazipur, National University",Gazipur,National University,2012
Achieve Fashion Ltd.,Woven,5.0,700.0,450,150000,"Shirts ,Pants","House # 39, Lane # 1, Yeasuddin Road, Noyapara, Dhaka, Dakkhin Khan",Dhaka,Dakkhin Khan,2016
ACME Apparels (Pvt) Ltd.,Knit,5.0,200.0,100,120000,"T-Shirts ,Boxer Shorts ,Bikini Briefs","CEPZ Lane, Omarshah Para, South Middle Halishahar, Chittagong, Bandar",Chittagong,Bandar,1995
Active Composite Mills Ltd.,Knit,5.0,690.0,244,300000,"T-Shirts ,Polo Shirts ,Kids Items","Dewan Idris Road, ZIrabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2002
Active Stitch Ltd.,Knit,5.0,265.0,189,200000,"Jersey ,Pants ,T-Shirts ,Polo Shirts","25-26, Posgola I/A, Dastagir Market-2, Dhaka, Postagola",Dhaka,Postagola,2010
Actor Sporting Limited,Woven,5.0,0.0,0,0,Caps,"SFB-1 (2nd Floor), DEPZ, Ganokbari, Dhaka, Savar",Dhaka,Savar,1995
Adams Apparels Ltd.,Woven,5.0,450.0,320,150000,"Basic Denim ,Cargo Shorts ,Overalls ,Jackets","ETDA Bhaban, Plot # I/15-18, Lane-6, Block-D, Shahid Bag, Section-12, Dhaka, Mirpur",Dhaka,Mirpur,2007
Adhunik Poshak Shilpa Ltd.,Woven,5.0,1868.0,150,45000,"Shirts ,Jackets ,Pants ,Shorts","Civil Engineers Towers, Industrial Plot # 1, Block - E, Avenue # 1, Section # 11, Dhaka, Mirpur",Dhaka,Mirpur,1994
Adila Apparels,Woven,5.0,0.0,153,420000,"T-Shirts ,Underwears ,Panties ,Bra","Eshak Shopping Complex (1st Fl), 212, Baizid Bostami, Chittagong, Chittagong",Chittagong,Chittagong,2008
Aditi Apparels Ltd.,Woven,5.0,313.0,160,80000,"Padding Jackets ,Children Wears ,Long Pants","26/A/B, 2nd Colony, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,1992
Aditto Fashion Ltd.,Knit,5.0,186.0,126,998410,"Shirts ,Pants ,T-Shirts ,Polo Shirts","228/7, Dighirchala, Gazipur, Chandana",Gazipur,Chandana,2014
Adorn Fashions Ltd.,Sweater,5.0,450.0,350,50000,Sweaters,"228/7, Dighi Chala, Chandona Chowrasta, Gazipur, Chandana",Gazipur,Chandana,2010
Adorn Knitwear Ltd.,Knit,5.0,433.0,255,150000,"T-Shirts ,Polo Shirts ,Tank Tops","42, Chowrangi Super Market (4th Fl), Savar Bazar, Dhaka, Savar",Dhaka,Savar,2007
Adury Apparels Ltd.,Knit,5.0,2600.0,1000,1466000,"T-Shirts ,Polo Shirts ,Tank Top","Karardi, Narsingdi, Shibpur",Narsingdi,Shibpur,2006
Advance Attire Ltd.,Woven,5.0,650.0,0,375000,"Shirts ,Bottoms ,Pant ,Jacket","25/2, Shah Ali Bagh (4th & 5th Floor), Mirpur-1, Dhaka, Dhaka",Dhaka,Dhaka,2007
Advance Design,Knit,5.0,550.0,150,130000,"Jackets ,Pants ,T-Shirts","5, Sujat Nagar (7th & 8th Fl), Section # 12, Pallabi, Dhaka, Mirpur",Dhaka,Mirpur,2011
Advance Sweater Industry Ltd.,Sweater,5.0,900.0,700,80000,Sweaters,"70/3, Chandana, Gazipur, Joydevpur",Gazipur,Joydevpur,2003
Advance World Ltd.,Knit,5.0,380.0,262,300000,"T-Shirts ,Polo Shirts ,Single Jersey","Shiachar, Lal Khan, Narayanganj, Fatullah",Narayanganj,Fatullah,2007
Adventure Garments Ltd.,Woven,1.0,0.0,0,0,,"Sarabo, Kashimpur, Gazipur, Gazipur, Gazipur",Gazipur,Gazipur,2021
AFCO Abedin Garments Ltd.,Woven,5.0,350.0,186,80000,"Pants ,Trousers ,Overalls ,Shorts","House # 84, New Airport Road, Dhaka, Banani",Dhaka,Banani,1985
Affan Composite Ltd.,Woven,5.0,1250.0,729,260000,"Shirts ,Pants","Kashizuli, Vitipara, Bormi, Gazipur, Sreepur",Gazipur,Sreepur,2016
Afifa Apparels Ltd.,Woven,1.0,3.0,264,95000,"Shirt ,Pant ,Jacket ,T-Shirt","7, Sahid Kazi Nazrul Islam Sharak, Tikatuli, Hatkhola, Dhaka, Dhaka",Dhaka,Dhaka,2021
Afrah Dresses Ltd.,Woven,5.0,497.0,350,100000,"Jackets ,Pants ,Skirts","CDA Market, 75/B, Sagorica Complex, Chittagong, Pahartoli",Chittagong,Pahartoli,2005
Aftab Garments Ltd.,Knit,5.0,0.0,0,650000,"T-Shirts ,Polo Shirts","Vannara, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2009
Aftabunnesa Garments Ltd.,Knit,5.0,419.0,297,1000000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Moghal Nagar Waskuruni Road, Dhaka, Jatrabari",Dhaka,Jatrabari,2010
Aftabunnesa Textiles Ltd.,Woven,5.0,450.0,215,80000,"Shirts ,Pants ,Trousers","Moghal Nagar, Waskuruni Road, Dhaka, Demra",Dhaka,Demra,2009
AG's Apparels Ltd,Woven,5.0,450.0,176,104000,"Ladies Shirts ,Fashion Wears ,Infants Wears ,Uniforms","Sat Masjid Super Market (2nd floor), Plot # Gha, Block # D, Dhaka, Mohammadpur",Dhaka,Mohammadpur,1985
Agami Apparels Ltd.,Woven,5.0,243.0,205,41600,"Shirts ,Jackets ,Pants","62, Kathgara, Bishmail, Zirabo Road, Ashulia, Dhaka, Savar",Dhaka,Savar,1993
Agami Fashions Limited,Woven,5.0,243.0,205,41600,"Shirts ,Jackets ,Pants","Holding # H-79/1, Chandra, Kaliakoir Pourashava, Gazipur, Kaliakoir",Gazipur,Kaliakoir,1997
Ahad Fashion Ltd.,Knit,5.0,300.0,145,200000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Remon Tower, Baipail, Natun Para, Ashulia, Dhaka, Savar",Dhaka,Savar,2011
Ahmed Fashions,Knit,1.0,50.0,0,66670,"Tops ,T-shirts ,Jacket ,Polo Shirt","34/1, Darus Salam Road, Mirpur-1, Dhaka-1216, Dhaka, Dhaka",Dhaka,Dhaka,2001
Ahmed Socks Industries,Knit,1.0,140.0,120,494000,,"Nayanagar, Ward # 04, Nishatnagar, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2019
Ahsan Apparels Ltd.,Knit,5.0,850.0,325,650000,"Tank Top ,Sweat Shirt ,T-Shirts ,Polo Shirts","Siddhirganj Pool, siddirgonj, Narayanganj, Narayangonj",Narayanganj,Narayangonj,2016
AIM Knit Wear Ltd.,Knit,5.0,150.0,100,20000,"T-Shirts ,Polo Shirts","H-79, Block-D, International Airport Road, Dhaka, Banani",Dhaka,Banani,1991
Ajax Sweater Ltd.,Sweater,5.0,600.0,200,0,Sweaters,"Zirabo, Dhaka, Savar",Dhaka,Savar,1999
AJI Apparels Industry Ltd.,Knit,5.0,669.0,550,245000,"T-Shirts ,Polo Shirts ,Jackets ,Vests","226, Singair Road, Hemayetpur, Dhaka, Savar",Dhaka,Savar,1995
Akbar Apparels Ltd.,Knit,5.0,465.0,155,679000,"T-Shirts ,Polo Shirts ,Tank Top","Kasorghar, Mymensingh, Valuka",Mymensingh,Valuka,2001
AKH Apparels Ltd.,Woven,5.0,1000.0,350,240000,"Shirts ,Jackets ,Pants","128, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2011
AKH Eco Apparels Ltd.,Woven,5.0,3677.0,2907,14400000,"Shirts ,Pants","495 Balitha, Shah-Belishwer, Dhaka, Dhamrai",Dhaka,Dhamrai,2014
AKH Fashions Ltd.,Woven,5.0,580.0,185,120000,"Shirts ,Blouses ,Denim","133/134, Hamayetpur, Dhaka, Savar",Dhaka,Savar,2000
AKH Knitting & Dyeing Ltd.,Knit,5.0,0.0,0,0,Knit Items,"92, Phulbaria, Tetulzora, Dhaka, Savar",Dhaka,Savar,2004
AKH Knitwear Ltd.,Knit,5.0,268.0,98,156000,"T-Shirts ,Polo Shirts ,Dresses","92, Raj Phulbaria, Dhaka, Savar",Dhaka,Savar,2006
AKH Shirts Ltd.,Woven,5.0,0.0,0,0,"Shirts ,Blouses ,Jogging Suits ,Trousers","133-134, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2007
AKH Stitch Art Ltd.,Knit,5.0,789.0,204,900000,"Fleece Shirts ,Trousers ,Jackets ,Polo Shirts","Plot # 1, Road # 1, Berribandh, Dhaka, Mohammadpur",Dhaka,Mohammadpur,2006
Akhand Fashion (Pvt.) Ltd.,Woven,5.0,220.0,256,500000,"Ladies Dress ,Ladies Swimmer ,Denim ,T-Shirt","Section # 7, Avenue # 1, Plot # 4 & 5, Pallabi I/A, Dhaka, Dhaka",Dhaka,Dhaka,2016
Akik Apparels Ltd.,Woven,5.0,415.0,186,100000,"Shirts ,Ladies Blouses ,Ladies Dresses","220/A, 1/1, West Kafrul, Begum Rokeya Sarani, Dhaka, Mirpur",Dhaka,Mirpur,2005
